# c_A,c_B,theta,theta_K
5.226416539569420650e+00,2.948197449103206136e+00,1.353139461568380852e+02,1.289010788968364238e+02
6.296482544247548052e-01,3.382736654528764930e+00,1.353194394747111460e+02,1.009877382496620868e+02
2.016670465904144116e+00,8.833616877505662046e+00,1.103440772115609718e+02,9.667250322327281253e+01
7.591511155552630896e+00,9.128037768664851725e+00,1.223036425785327310e+02,1.063880659052202873e+02
5.495414347716630843e+00,7.673523970729989152e+00,1.144598256982778821e+02,1.070529957775747789e+02
1.069630541339677388e+00,5.090216596649549174e+00,1.018303754317148986e+02,1.356668929332483913e+02
4.443250192385074016e+00,8.208054457791714498e+00,1.326471232090922001e+02,1.138451530493093031e+02
7.047716938971242406e+00,6.624840774510153629e+00,1.225890814776421962e+02,1.184149930925079701e+02
6.620254953575781087e+00,7.777127660712006119e+00,1.354500019341950861e+02,1.267238022344848503e+02
4.742033660579130228e+00,6.258132897906341974e+00,1.255181028548911826e+02,1.213277433013968221e+02
8.858528589719931290e+00,4.353947333355054461e+00,1.262692853472015173e+02,1.237984937784302701e+02
1.246725350620441874e+00,3.758240855475658559e+00,1.141500469992830915e+02,1.309767320820668601e+02
1.909949769973921185e+00,1.999982710089627025e+00,1.388296610633254602e+02,1.049511712255731339e+02
1.094739930839547126e+00,7.470606320745796225e+00,1.181809178733696228e+02,1.283824983016433521e+02
6.421733326607884429e+00,3.666215838548992689e+00,1.048467691353585707e+02,1.201015934775975467e+02
9.281809016212129171e-01,5.854446862651149885e+00,1.314669086540342562e+02,1.306460913432959501e+02
4.619932682593803186e+00,4.454784768628430314e+00,1.099616754734626340e+02,1.136030155822637937e+02
8.863556314618765697e+00,5.835423995364737770e+00,1.173995917778298121e+02,1.389223930665992839e+02
1.144746533648935305e+00,1.091017986766664949e+00,1.000554886277327995e+02,1.392709254432805892e+02
6.262394454086269491e+00,7.925872074481550733e+00,1.070942596825518933e+02,1.004234260082605203e+02
2.778779815979349088e+00,4.207933080626566458e+00,1.070253114647780990e+02,1.176866507229532033e+02
8.956168667355205670e+00,5.203427164072283340e+00,1.379726440004339452e+02,1.095402051305473634e+02
1.461489588415062268e+00,2.673687708673300634e+00,1.072309334353749222e+02,1.219088494958873099e+02
9.017318334876657238e-01,4.075317025617996691e+00,1.363106015050241524e+02,1.018969581515360971e+02
6.637821285392199400e+00,3.029338210866274306e+00,1.266165802058739871e+02,1.028551283354779997e+02
2.172940993019621736e+00,5.587799559703704233e+00,1.041383418291624849e+02,1.277084273026040364e+02
4.827857274757479722e+00,9.585871387900686269e-01,1.356538983028238761e+02,9.727545529594851814e+01
2.504739231167748770e+00,9.733695330935949741e+00,1.189399167487050448e+02,1.098537935092520428e+02
7.780982389168769942e+00,5.469911238265471098e+00,1.284505174139885071e+02,1.174450200015018169e+02
3.530812175859259217e+00,6.185927205723546152e+00,1.284385015199405302e+02,1.257189120007201382e+02
9.312880452933400832e+00,7.052451577844700559e+00,1.038042176971670045e+02,1.164158916045015957e+02
5.952789893867741711e+00,4.820077074915690041e+00,1.015663485690271415e+02,1.227808942290813832e+02
3.974777726193637228e+00,3.173110738645033457e+00,1.000365866359374962e+02,1.398787909925906661e+02
6.316079349103024043e+00,6.928409051640287863e+00,1.019049732169255833e+02,1.098268289082884337e+02
8.623819442506258426e+00,4.226156536911826578e+00,1.304035611666140255e+02,1.113890874272643714e+02
